Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total," $1,683.75 "
,501,22,,
,502,24,,
,503,25,,
,504,24,,
,505,3,,
,506,15,,
,507,28,,
,508,12,,
,509,45,,
,510,28,,
,511,19,,
,512,2,,
,513,128,,
,514,34,,
,515,22,,
,516,17,,
,517,38,,
,518,53,,
,519,22,,
,,,,
Monday,Item,Quantity,Total," $1,314.25 "
,501,20,,
,502,25,,
,503,23,,
,504,20,,
,505,5,,
,506,0,,
,507,25,,
,508,18,,
,509,25,,
,510,25,,
,511,10,,
,512,5,,
,513,45,,
,514,40,,
,515,20,,
,516,10,,
,517,30,,
,518,50,,
,519,28,,
,,,,
Tuesday,Item,Quantity,Total," $1,508.75 "
,501,27,,
,502,30,,
,503,37,,
,504,20,,
,505,5,,
,506,2,,
,507,25,,
,508,12,,
,509,45,,
,510,25,,
,511,6,,
,512,5,,
,513,62,,
,514,50,,
,515,20,,
,516,10,,
,517,39,,
,518,50,,
,519,15,,
,,,,
Wednesday,Item,Quantity,Total," $1,818.30 "
,501,26,,
,502,36,,
,503,36,,
,504,24,,
,505,6,,
,506,2,,
,507,70,,
,508,14,,
,509,54,,
,510,30,,
,511,7,,
,512,6,,
,513,88,,
,514,60,,
,515,24,,
,516,12,,
,517,36,,
,518,40,,
,519,30,,
,,,,
Thursday,Item,Quantity,Total," $2,319.10 "
,501,46,,
,502,46,,
,503,46,,
,504,31,,
,505,7,,
,506,2,,
,507,39,,
,508,38,,
,509,70,,
,510,39,,
,511,9,,
,512,7,,
,513,181,,
,514,78,,
,515,31,,
,516,15,,
,517,76,,
,518,78,,
,519,39,,
,,,,
Friday,Item,Quantity,Total," $2,753.10 "
,501,46,,
,502,46,,
,503,46,,
,504,38,,
,505,17,,
,506,14,,
,507,39,,
,508,18,,
,509,70,,
,510,33,,
,511,9,,
,512,7,,
,513,121,,
,514,78,,
,515,31,,
,516,15,,
,517,26,,
,518,78,,
,519,39,,
,,,,
Saturday,Item,Quantity,Total," $3,808.10 "
,501,64,,
,502,64,,
,503,64,,
,504,43,,
,505,23,,
,506,19,,
,507,54,,
,508,28,,
,509,98,,
,510,54,,
,511,12,,
,512,9,,
,513,121,,
,514,109,,
,515,43,,
,516,21,,
,517,34,,
,518,109,,
,519,24,,
