5 finger original, "Chicken breast=1"
4 finger meal, "Chicken breast=0.8"
three finger meal, "Chicken breast=0.6"
kids meal, "Chicken breast=0.3"
gallon of tea, "Tea bags=1"
family pack, "Chicken breast=4"
Club Sandwich meal, "Chicken breast=0.3"
Club Sandwich only, "Chicken breast=0.3"
Sandwich meal combo, "Chicken breast=0.3"
Grill cheese meal combo, "Sliced cheese=2"
grill cheese sandwich only, "Sliced cheese=2"
Chicken finger, "Chicken breast=0.2"
potato Salad, "Potato Salad=1"
Crinke cut fries, "Fries=0.5"
