Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$2,842.80 "
,501,28,,
,502,30,,
,503,29,,
,504,32,,
,505,7,,
,506,19,,
,507,35,,
,508,16,,
,509,50,,
,510,33,,
,511,24,,
,512,4,,
,513,137,,
,514,40,,
,515,30,,
,516,25,,
,517,43,,
,518,60,,
,519,28,,
,,,,
Monday,Item,Quantity,Total,"$2,100.75 "
,501,25,,
,502,29,,
,503,30,,
,504,29,,
,505,9,,
,506,2,,
,507,28,,
,508,26,,
,509,32,,
,510,32,,
,511,15,,
,512,9,,
,513,49,,
,514,44,,
,515,24,,
,516,13,,
,517,35,,
,518,54,,
,519,34,,
,,,,
Tuesday,Item,Quantity,Total,"$2,375.70 "
,501,38,,
,502,34,,
,503,45,,
,504,24,,
,505,7,,
,506,5,,
,507,27,,
,508,15,,
,509,48,,
,510,28,,
,511,8,,
,512,10,,
,513,66,,
,514,55,,
,515,24,,
,516,14,,
,517,45,,
,518,54,,
,519,19,,
,,,,
Wednesday,Item,Quantity,Total,"$2,767.30 "
,501,30,,
,502,40,,
,503,39,,
,504,29,,
,505,10,,
,506,4,,
,507,79,,
,508,18,,
,509,58,,
,510,34,,
,511,10,,
,512,12,,
,513,93,,
,514,66,,
,515,26,,
,516,14,,
,517,40,,
,518,45,,
,519,35,,
,,,,
Thursday,Item,Quantity,Total,"$3,775.10 "
,501,49,,
,502,49,,
,503,52,,
,504,35,,
,505,9,,
,506,5,,
,507,45,,
,508,44,,
,509,78,,
,510,43,,
,511,14,,
,512,12,,
,513,187,,
,514,84,,
,515,33,,
,516,18,,
,517,78,,
,518,80,,
,519,45,,
,,,,
Friday,Item,Quantity,Total,"$4,015.60 "
,501,50,,
,502,50,,
,503,53,,
,504,41,,
,505,19,,
,506,20,,
,507,43,,
,508,24,,
,509,74,,
,510,38,,
,511,13,,
,512,11,,
,513,126,,
,514,81,,
,515,33,,
,516,18,,
,517,29,,
,518,81,,
,519,42,,
,,,,
Saturday,Item,Quantity,Total,"$5,512.35 "
,501,69,,
,502,70,,
,503,69,,
,504,48,,
,505,28,,
,506,35,,
,507,58,,
,508,32,,
,509,104,,
,510,58,,
,511,16,,
,512,13,,
,513,126,,
,514,114,,
,515,47,,
,516,26,,
,517,40,,
,518,113,,
,519,29,,
