Menu key,,,,,,
,Item ,name,Description,price,,
,501,5 finger original,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$6.50 ,,
,502,4 finger meal,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$5.50 ,,
,503,three finger meal,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$4.50 ,,
,504,kids meal,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$2.50 ,,
,505,gallon of tea,,$5.00 ,,
,506,family pack,"20 fingers 4 toasts, 4 Fries, 8 Laynes sauces",$32.00 ,,
,507,Club Sandwich meal,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$0.75 ,,
,508,Club Sandwich only,,$4.75 ,,
,509,Sandwich meal combo,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$5.75 ,,
,510,sandwich only,,$3.75 ,,
,511,Grill cheese meal combo,"texas toast, Fries, Potato Salad, Laynes sauce, Fountain Drink",$4.50 ,,
,512,grill cheese sandwich only,,$3.50 ,,
,513,Laynes sauce,2 oz cup,$0.10 ,,
,514,Chicken finger,"side, 1 finger",$1.50 ,,
,515,texas toast,"side, 1 piece",$50.00 ,,
,516,Potato Salad,"Side, 5.5 oz",$1.50 ,,
,517,Fries,side,$1.75 ,,
,518,Fountain Drink,16 oz Fountain Drink,$1.25 ,,
,519,Bottle Drink,,$2.00 ,,
